ScanNumber	ImageOrSpectrum	FullOrROI	AcquireOrFocus	NumFrames	NumAccum	ExposureTime	ROIX1Start	ROIX1End	ROIY1Start	ROIY1End	HHG(mbar)	Target(mbar)	ValveHHG	ValveTarget	ZPositionHHG	ZPositionTarget	InitialPower	IrisPosition	TDPosition	XPositionTarget	Wedge1Pos	Wedge2Pos	MirrorFarX	MirrorFarY	MirrorNearX	MirrorNearY	CEP	Notes
1489	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.173	66.857	0.000	0.000	0.000	0.000	0.000	60.000	101.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1490	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.867	66.664	0.000	0.000	0.000	0.000	0.000	60.000	102.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1491	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.867	66.664	0.000	0.000	0.000	0.000	0.000	60.000	102.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1492	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.859	66.704	0.000	0.000	0.000	0.000	0.000	60.000	102.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1493	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.012	66.809	0.000	0.000	0.000	0.000	0.000	60.000	102.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1494	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.012	66.809	0.000	0.000	0.000	0.000	0.000	60.000	102.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1495	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.012	66.809	0.000	0.000	0.000	0.000	0.000	60.000	102.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1496	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.157	66.769	0.000	0.000	0.000	0.000	0.000	60.000	102.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1497	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.803	66.986	0.000	0.000	0.000	0.000	0.000	60.000	102.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1498	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.803	66.986	0.000	0.000	0.000	0.000	0.000	60.000	102.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1499	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.932	66.849	0.000	0.000	0.000	0.000	0.000	60.000	102.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1500	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.932	66.849	0.000	0.000	0.000	0.000	0.000	60.000	102.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1501	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.916	66.841	0.000	0.000	0.000	0.000	0.000	60.000	102.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1502	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.916	66.841	0.000	0.000	0.000	0.000	0.000	60.000	102.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1503	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.825	0.000	0.000	0.000	0.000	0.000	60.000	102.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
